Especie;Year;Month;Flag;Lat;Lon;Valor
FALn;1993;11;MEX;17.5;-104.5;1
FALn;1993;11;MEX;18.5;-107.5;2
FALn;1993;11;MEX;18.5;-104.5;1
FALn;1993;11;MEX;20.5;-107.5;1
FALn;1993;11;MEX;21.5;-107.5;1
FALn;1993;11;MEX;21.5;-106.5;5
FALn;1993;11;USA;4.5;-86.5;1
FALn;1993;11;VEN;2.5;-105.5;2
FALn;1993;11;VEN;5.5;-85.5;53
FALn;1993;11;VEN;7.5;-100.5;1
FALn;1993;11;VEN;8.5;-107.5;31
FALn;1993;11;VEN;10.5;-110.5;1
FALn;1993;11;VUT;1.5;-100.5;1
FALn;1993;12;ECU;-4.5;-83.5;1
FALn;1993;12;ECU;2.5;-99.5;18
FALn;1993;12;ECU;3.5;-108.5;9
FALn;1993;12;MEX;22.5;-108.5;1
FALn;1993;12;USA;-6.5;-84.5;2
FALn;1993;12;USA;-5.5;-84.5;7
FALn;1993;12;USA;3.5;-94.5;7
FALn;1993;12;USA;3.5;-93.5;24
FALn;1993;12;USA;4.5;-93.5;13
FALn;1993;12;VEN;-2.5;-109.5;1
FALn;1993;12;VEN;-2.5;-103.5;1
FALn;1993;12;VUT;-7.5;-85.5;1
FALn;1993;12;VUT;-6.5;-84.5;1
FALn;1993;12;VUT;-5.5;-83.5;1
FALn;1994;1;COL;-9.5;-87.5;1
FALn;1994;1;COL;1.5;-87.5;15
FALn;1994;1;ECU;-10.5;-81.5;20
FALn;1994;1;ECU;-8.5;-86.5;4
FALn;1994;1;ECU;-7.5;-85.5;40
FALn;1994;1;ECU;-7.5;-84.5;3
FALn;1994;1;MEX;-3.5;-109.5;4
FALn;1994;1;MEX;-3.5;-106.5;4
FALn;1994;1;Other;-7.5;-85.5;2
FALn;1994;1;Other;-0.5;-91.5;9
FALn;1994;1;VEN;-9.5;-88.5;1
FALn;1994;1;VEN;-7.5;-85.5;19
FALn;1994;1;VEN;-6.5;-84.5;1
FALn;1994;1;VUT;-4.5;-106.5;6
FALn;1994;2;COL;-13.5;-83.5;9
FALn;1994;2;COL;-12.5;-85.5;6
FALn;1994;2;ECU;-9.5;-82.5;14
FALn;1994;2;ECU;-9.5;-81.5;2
FALn;1994;2;ECU;-8.5;-81.5;1
FALn;1994;2;ECU;-7.5;-86.5;3
FALn;1994;2;MEX;-10.5;-82.5;22
FALn;1994;2;MEX;14.5;-104.5;1
FALn;1994;2;MEX;15.5;-96.5;1
FALn;1994;2;MEX;17.5;-109.5;1
FALn;1994;2;Other;-15.5;-80.5;1
FALn;1994;2;Other;-14.5;-81.5;10
FALn;1994;2;Other;-14.5;-80.5;2
FALn;1994;2;Other;-7.5;-83.5;4
FALn;1994;2;Other;-5.5;-82.5;2
FALn;1994;2;Other;-4.5;-82.5;1
FALn;1994;2;Other;4.5;-88.5;14
FALn;1994;2;VEN;-13.5;-83.5;3
FALn;1994;2;VEN;-12.5;-86.5;21
FALn;1994;2;VEN;-12.5;-85.5;31
FALn;1994;2;VEN;-8.5;-88.5;6
FALn;1994;2;VEN;-7.5;-90.5;9
FALn;1994;2;VEN;6.5;-93.5;1
FALn;1994;2;VEN;6.5;-92.5;1
FALn;1994;2;VUT;-6.5;-89.5;13
FALn;1994;2;VUT;6.5;-91.5;15
FALn;1994;3;MEX;-11.5;-82.5;6
FALn;1994;3;MEX;7.5;-118.5;25
FALn;1994;3;MEX;11.5;-109.5;39
FALn;1994;3;MEX;12.5;-118.5;2
FALn;1994;3;MEX;13.5;-114.5;1
FALn;1994;3;MEX;13.5;-108.5;1
FALn;1994;3;MEX;16.5;-98.5;9
FALn;1994;3;Other;-13.5;-84.5;192
FALn;1994;3;Other;-12.5;-84.5;4
FALn;1994;3;Other;-11.5;-84.5;2
FALn;1994;3;Other;-11.5;-82.5;10
FALn;1994;3;Other;-10.5;-83.5;1
FALn;1994;3;Other;-10.5;-82.5;3
FALn;1994;3;Other;-9.5;-85.5;1
FALn;1994;3;USA;-7.5;-93.5;6
FALn;1994;3;VEN;-12.5;-88.5;1
FALn;1994;3;VEN;-12.5;-87.5;2
FALn;1994;3;VEN;-12.5;-84.5;12
FALn;1994;3;VEN;-12.5;-81.5;1
FALn;1994;3;VEN;-10.5;-86.5;5
FALn;1994;3;VEN;-10.5;-84.5;1
FALn;1994;3;VEN;-9.5;-82.5;2
FALn;1994;3;VEN;6.5;-92.5;1
FALn;1994;3;VEN;6.5;-91.5;13
FALn;1994;3;VEN;7.5;-96.5;1
FALn;1994;3;VEN;7.5;-93.5;2
FALn;1994;3;VUT;-9.5;-87.5;8
FALn;1994;3;VUT;-8.5;-88.5;26
FALn;1994;4;COL;7.5;-79.5;26
FALn;1994;4;COL;7.5;-78.5;30
FALn;1994;4;ECU;-13.5;-88.5;2
FALn;1994;4;ECU;-10.5;-89.5;3
